%um O O 
he O O 
's O O 
enjoying O O 
it O O 
and O O 
liking O O 
it O O 

and O O 
they O O 
're O O 
doing O O 
okay O O 
. O O 
he O O 
seems O O 
to O O 
feel O O 
really O O 
like O O 
he O O 
's O O 
doing O O 
the O O 
right O O 
thing O O 
and O O 
he O O 
is O O 
Great O O 
still O O 
in O O 
academic O O 
publishing O O 
. O O 
My O O 
other O O 
friend O O 
just O O 
moved O O 
to O O 
trade O O 
publishing O O 
after O O 
years B-DATE O 
in O O 
academic O O 
publishing O O 
and O O 
mhm O O 
%um O O 
you O O 
know O O 
. O O 
It O O 
feels O O 
like O O 
maybe O O 
she O O 
made O O 
a O O 
compromise O O 

but O O 
it O O 
's O O 
like O O 
three B-CARDINAL B-CARDINAL 
times O O 
the O O 
money O O 
as O O 
with O O 
everything O O 
else O O 
wow O O 
wow O O 
industry O O 
and O O 
academics O O 
%um O O 
yeah O O 
it O O 
's O O 
amazing O O 
and O O 
%um O O 
You O O 
know O O 
ages O O 
ago O I-DATE 
I O O 
got O O 
a O O 
card O O 
from O O 
Liz B-PERSON B-PERSON 
Gana I-PERSON I-PERSON 
. O O 

I O O 
told O O 
you O O 
this O O 
. O O 
because O O 
%uh O O 
you O O 
showed O O 
us O O 
her O O 
picture O O 
. O O 
%um O O 
and O O 
I O O 
keep O O 
thinking O O 
maybe O O 
I O O 
'd O O 
get O O 
in O O 
touch O O 
but O O 
I O O 
have O O 
n't O O 
done O O 
it O O 
. O O 
and O O 
then O O 
I O O 
saw O O 
in O O 
the O O 
%um O O 
Tufts B-ORG B-ORG 
thing O O 
that O O 
Ginny B-PERSON B-PERSON 
Totta I-PERSON I-PERSON 
you O O 
know O O 
in O O 
the O O 
alumni O O 
thing O O 
is O O 
living O O 
in O O 
the O O 

So O O 
, O O 
anyway O O 
, O O 
how O O 
are O O 
you O O 
doing O O 
these O O 
days O O 
? O O 
Things O O 
are O O 
going O O 
very O O 
well O O 
. O O 
I O O 
think O O 
I O O 
had O O 
mentioned O O 
before O O 
%uh O O 
, O O 
that O O 
there O O 
's O O 
a O O 
company O O 
now O O 
that O O 
I O O 
'm O O 
working O O 
with O O 
%um O O 
, O O 
%uh O O 
, O O 
which O O 
is O O 
very O O 
much O O 
just O O 
myself O O 
and O O 
Guss B-PERSON O 
. O O 
oh O O 
. O O 
And O O 
that O O 
%um O O 

No O O 
, O O 
you O O 
had O O 
n't O O 
mentioned O O 
that O O 
. O O 
%eh O O 
, O O 
oh O O 
, O O 
okay O O 
. O O 
okay O O 
, O O 
so O O 
%um O O 
%eh O O 
you O O 
told O O 
me O O 
that O O 
you O O 
were O O 
leaving O O 
the O O 
company O O 
that O O 
you O O 
were O O 
at O O 
, O O 
and O O 
you O O 
were O O 
entertaining O O 
offers O O 
. O O 

And O O 
, O O 
%uh O O 
well O O 
it O O 
seemed O O 
to O O 
make O O 
sense O O 
since O O 
I O O 
had O O 
a O O 
client O O 
to O O 
just O O 
kind O O 
of O O 
set O O 
up O O 
my O O 
own O O 
company O O 
, O O 
of O O 
sorts O O 
. O O 
%um O O 
oh O O 
. O O 
So O O 
things O O 
are O O 
going O O 
extremely O O 
well O O 
. O O 
So O O 
, O O 
I O O 
had O O 
one O O 
client O O 
who O O 
said O O 
that O O 
he O O 
'd O O 
pay O O 
me O O 
a O O 
minimum O O 
amount O O 
. O O 
You O O 
know O O 
, O O 
he O O 
, O O 
%uh O O 
, O O 

there O O 
would O O 
be O O 
a O O 
minimum O O 
amount O O 
of O O 
work O O 
, O O 
of O O 
about O O 
%uh O O 
, O O 
a O O 
day O O 
a O O 
week O O 
for O O 
the B-DATE O 
next I-DATE O 
two I-DATE I-DATE 
three I-DATE I-DATE 
years I-DATE I-DATE 
. O O 
mhm O O 
. O O 
Which O O 
is O O 
sufficient O O 
to O O 
pay O O 
all O O 
my O O 
bills O O 
then O O 
so O O 
I O O 
decided O O 
that O O 
it O O 
would O O 
make O O 
sense O O 
to O O 
do O O 
this O O 
. O O 
%um O O 
and O O 
, O O 
%um O O 
, O O 
I O O 
've O O 
been O O 
getting O O 
substantially O O 
more O O 
work O O 
than O O 
then O O 
. O O 
%mm O O 
. O O 
So O O 
I O O 
'm O O 
quite O O 
pleased O O 
. O O 

Well O O 
that O O 
's O O 
good O O 
. O O 
%um O O 
, O O 
so O O 
I O O 
have O O 
a O O 
bunch O O 
of O O 
%uh O O 
work O O 
that O O 
I O O 
need O O 
to O O 
do O O 
on O O 
my O O 
flat O O 
this B-DATE B-DATE 
year I-DATE I-DATE 
. O O 
I O O 
've O O 
been O O 
telling O O 
you O O 
that O O 
I O O 
needed O O 
to O O 
do O O 
that O O 
roof O O 
atrium O O 
for O O 
quite O O 
some O O 
time O O 
. O O 
But O O 
, O O 
%uh O O 
, O O 
it O O 
should O O 
come O O 
out O O 
this B-DATE B-DATE 
year I-DATE I-DATE 
. O O 
oh O O 
, O O 
well O O 
that O O 
's O O 
good O O 
. O O 

It O O 
should O O 
be O O 
done O O 
in O O 
a B-DATE B-DATE 
few I-DATE I-DATE 
months I-DATE I-DATE 
. O O 
oh O O 
, O O 
yeah O O 
I O O 
remember O O 
So O O 
you O O 
talking O O 
a O O 
little O O 
bit O O 
about O O 
it O O 
at O O 
one O O 
point O O 
. O O 
yeah O O 
, O O 
yeah O O 
. O O 

So O O 
you O O 
have O O 
no O O 
intentions O O 
of O O 
coming O O 
over O O 
this O O 
way O O 
any O O 
time O O 
soon O O 
? O O 
%um O O 
. O O 
I O O 
do O O 
n't O O 
see O O 
the O O 
finances O O 
occurring O O 
uh-huh O O 
, O O 
right O O 
. O O 
for O O 
a O O 
while O O 
. O O 
%um O O 
, O O 
actually O O 
right O O 
at O O 
the O O 
moment O O 
finances O O 
are O O 
not O O 
going O O 
real O O 
well O O 
. O O 
But O O 
%ah O O 
well O O 
. O O 
I O O 
am O O 
working O O 
on O O 
that O O 
one O O 
. O O 
%uh O O 
. O O 

It O O 
's O O 
just O O 
But O O 
%um O O 
%uh O O 
, O O 
%uh O O 
, O O 
the O O 
main O O 
reason O O 
for O O 
that O O 
is O O 
I O O 
had O O 
not O O 
really O O 
anticipated O O 
a O O 
few O O 
expenses O O 
that O O 
recently O O 
came O O 
up O O 
%ah O O 
. O O 
%uh O O 
, O O 
related O O 
to O O 
a O O 
couple O O 
of O O 
burglaries O O 
that O O 
I O O 
had O O 
. O O 
oh O O 
, O O 
harsh O O 
. O O 
Harsh O O 
. O O 
yeah O O 
. O O 
yeah O O 
, O O 
and O O 
. O O 

Not O O 
a O O 
whole O O 
lot O O 
I O O 
can O O 
do O O 
about O O 
that O O 
now O O 
. O O 
Indeed O O 
. O O 
Indeed O O 
. O O 
have O O 
to O O 
deal O O 
with O O 
the O O 
situation O O 
. O O 
So O O 
that O O 
's O O 
what O O 
I O O 
'm O O 
doing O O 
. O O 
Sounds O O 
good O O 
. O O 

But O O 
%um O O 
Anyway O O 
, O O 
%uh O O 
One B-CARDINAL B-CARDINAL 
of O O 
the O O 
main O O 
reasons O O 
that O O 
I O O 
've O O 
been O O 
such O O 
a O O 
pathetic O O 
, O O 
%uh O O 
, O O 
correspondent O O 
has O O 
been O O 
work O O 
. O O 
I O O 
've O O 
actually O O 
been O O 
doing O O 
a O O 
lot O O 
of O O 
it O O 
. O O 
oh O O 
wow O O 
. O O 
And O O 
%uh O O 
, O O 
I O O 
turned O O 
in O O 
my O O 
Master O O 
's O O 
thesis O O 
back O O 
in O O 
May B-DATE B-DATE 
, O O 
and O O 
I O O 
'm O O 
actually O O 
presently O O 
working O O 
on O O 
, O O 
%um O O 
, O O 
several O O 
, O O 
%uh O O 
, O O 
articles O O 
oh O O 
, O O 
okay O O 
. O O 
Impressive O O 
. O O 
from O O 
it O O 
. O O 

yeah O O 
, O O 
actually O O 
it O O 
turns O O 
out O O 
that O O 
one B-CARDINAL O 
thing O O 
, O O 
one B-CARDINAL O 
little O O 
bit O O 
in O O 
what O O 
I O O 
was O O 
doing O O 
, O O 
%uh O O 
, O O 
is O O 
going O O 
to O O 
turn O O 
out O O 
to O O 
be O O 
very O O 
important O O 
in O O 
the O O 
end O O 
. O O 
%uh O O 
, O O 
from O O 
what O O 
I O O 
had O O 
been O O 
reading O O 
in O O 
the O O 
literature O O 
. O O 
You O O 
see O O 
the O O 
one O O 
very O O 
annoying O O 
thing O O 
about O O 
all O O 
of O O 
this O O 
, O O 
was O O 
my O O 
advisor O O 
has O O 
been O O 
in O O 
France B-GPE B-GPE 
for O O 
a B-DATE O 
year I-DATE I-DATE 
and I-DATE I-DATE 
a I-DATE I-DATE 
half I-DATE I-DATE 
. O O 
yeah O O 
. O O 
And O O 
this O O 
made O O 
writing O O 
my O O 
thesis O O 
very O O 
annoying O O 
because O O 
you O O 
know O O 
there O O 
was O O 
n't O O 
much O O 
discussion O O 
. O O 

yeah O O 
. O O 
yup O O 
, O O 
yup O O 
. O O 
But O O 
, O O 
%um O O 
Anyway O O 
, O O 
I O O 
had O O 
been O O 
kind O O 
of O O 
telling O O 
him O O 
that O O 
, O O 
you O O 
know O O 
, O O 
from O O 
my O O 
reading O O 
of O O 
the O O 
literature O O 
, O O 
I O O 
thought O O 
that O O 
this O O 
one B-CARDINAL O 
little O O 
alteration O O 
I O O 
had O O 
made O O 
in O O 
my O O 
model O O 
was O O 
kind O O 
of O O 
clever O O 
and O O 
unique O O 
. O O 
mhm O O 
. O O 

And O O 
it O O 
made O O 
the O O 
one B-CARDINAL O 
type O O 
of O O 
solution O O 
occur O O 
, O O 
which O O 
was O O 
seen O O 
experimentally O O 
, O O 
but O O 
none O O 
of O O 
the O O 
other O O 
models O O 
%uh O O 
, O O 
had O O 
? O O 
Yes O O 
. O O 
the- O O 
, O O 
I O O 
'm O O 
looking O O 
at O O 
, O O 
%um O O 
, O O 
multi O O 
mode O O 
lasers O O 
. O O 

And O O 
one O O 
of O O 
the O O 
things O O 
that O O 
they O O 
find O O 
experimentally O O 
are O O 
what O O 
they O O 
call O O 
anti O O 
phased O O 
, O O 
%uh O O 
, O O 
states O O 
, O O 
where O O 
if O O 
you O O 
look O O 
at O O 
the O O 
total O O 
intensity O O 
uh-huh O O 
. O O 
of O O 
the O O 
laser O O 
, O O 
you O O 
get O O 
an O O 
oscillation O O 
which O O 
is O O 
characterized O O 
by O O 
one B-CARDINAL B-CARDINAL 
frequency O O 
. O O 
Yes O O 
. O O 
okay O O 
. O O 
if O O 
you O O 
separate O O 
out O O 
the O O 
different O O 
modes O O 
of O O 
the O O 
laser O O 
mhm O O 
. O O 
and O O 
look O O 
at O O 
one O O 
of O O 
those O O 
, O O 
you O O 
get O O 
more B-CARDINAL B-CARDINAL 
than I-CARDINAL I-CARDINAL 
one I-CARDINAL I-CARDINAL 
frequency O O 
. O O 
okay O O 
. O O 

So O O 
what O O 
's O O 
happening O O 
is O O 
that O O 
the O O 
modes O O 
are O O 
oscillating O O 
out O O 
of O O 
phase O O 
so O O 
that O O 
they O O 
completely O O 
mask O O 
each O O 
other O O 
's O O 
Exactly O O 
. O O 
%hm O O 
. O O 
oscillations O O 
on O O 
these O O 
other O O 
frequencies O O 
. O O 
And O O 
%uh O O 
With O O 
a O O 
pretty O O 
simple O O 
model O O 
you O O 
can O O 
find O O 
that O O 
frequency O O 
in O O 
a O O 
transient O O 
, O O 
but O O 
you O O 
ca O O 
n't O O 
find O O 
that O O 
frequency O O 
in O O 
a O O 
driven O O 
, O O 
%uh O O 
, O O 
frequency O O 
. O O 
You O O 
ca O O 
n't O O 
find O O 
so O O 
that O O 
it O O 
will O O 
sustain O O 
. O O 
okay O O 
. O O 

Yes O O 
. O O 
So O O 
yeah O O 
, O O 
that O O 
particular O O 
frequency O O 
according O O 
to O O 
most O O 
models O O 
damps O O 
out O O 
very O O 
quickly O O 
. O O 
And O O 
so O O 
you O O 
should O O 
n't O O 
actually O O 
really O O 
be O O 
able O O 
to O O 
ever O O 
see O O 
it O O 
. O O 
%hm O O 
. O O 
The O O 
only O O 
thing O O 
is O O 
, O O 
that O O 
, O O 
when O O 
you O O 
do O O 
the O O 
experiment O O 
you O O 
see O O 
it O O 
. O O 

Got O O 
it O O 
, O O 
got O O 
it O O 
. O O 
I O O 
see O O 
. O O 
So O O 
, O O 
%um O O 
, O O 
I O O 
found O O 
a O O 
simple O O 
modification O O 
of O O 
the O O 
original O O 
formula O O 
, O O 
which O O 
unfortunately O O 
makes O O 
the O O 
solutions O O 
horrendously O O 
nasty O O 
. O O 
And O O 
in O O 
most O O 
cases O O 
, O O 
%uh O O 
, O O 
insoluble O O 
. O O 
But O O 
yeah O O 
. O O 
it O O 
gives O O 
a O O 
driving O O 
term O O 
. O O 

oh O O 
, O O 
okay O O 
. O O 
So O O 
, O O 
it O O 
actually O O 
creates O O 
a O O 
situation O O 
where O O 
you O O 
get O O 
the O O 
right O O 
sort O O 
of O O 
answer O O 
, O O 
you O O 
just O O 
ca O O 
n't O O 
always O O 
write O O 
it O O 
down O O 
very O O 
easily O O 
. O O 
Exactly O O 
. O O 
oh O O 
wow O O 
. O O 
so O O 
you O O 
're O O 
pushing O O 
forward O O 
the O O 
bounds O O 
of O O 
theoretical O O 
laser O O 
, O O 
%uh O O 
, O O 
whatever O O 
it O O 
is O O 
science O O 
. O O 

which O O 
, O O 
%um O O 
, O O 
is O O 
kind O O 
of O O 
interesting O O 
considering O O 
that O O 
that O O 
's O O 
not O O 
really O O 
my O O 
thing O O 
. O O 
. O O 
Indeed O O 
. O O 
Indeed O O 
. O O 
being O O 
an O O 
experimentalist O O 
, O O 
not O O 
a O O 
theorist O O 
. O O 
%um O O 
Indeed O O 
. O O 
oh O O 
wow O O 
. O O 
oh O O 
, O O 
impressive O O 
. O O 
But O O 
so O O 
are O O 
you O O 
going O O 
to O O 
get O O 
an O O 
article O O 
in O O 
Nature B-ORG B-ORG 
or O O 
something O O 
? O O 
%um O O 
, O O 
actually O O 
, O O 
I O O 
'm O O 
not O O 
sure O O 
if O O 
we O O 
're O O 
shooting O O 
for O O 
op- O O 
, O O 
I O O 
think O O 
Optics B-ORG O 
Letters I-ORG O 
is O O 
probably O O 
the O O 
one O O 
that O O 
we O O 
're O O 
shooting O O 
for O O 
, O O 
or O O 
else O O 
, O O 
perhaps O O 
, O O 
though O O 
I O O 
do O O 
n't O O 
think O O 
it O O 
's O O 
quite O O 
that O O 
significant O O 
, O O 
would O O 
be O O 
Phys B-ORG O 
Rev I-ORG O 
Letters I-ORG O 
. O O 

%hm O O 
. O O 
But O O 
, O O 
%uh O O 
, O O 
we O O 
want O O 
to O O 
write O O 
a O O 
letter O O 
, O O 
and O O 
then O O 
a B-CARDINAL O 
couple I-CARDINAL O 
articles O O 
. O O 
yeah O O 
. O O 
%hm O O 
. O O 
impressive O O 
. O O 
And O O 
I O O 
do O O 
n't O O 
know O O 
how O O 
much O O 
you O O 
know O O 
about O O 
scientific O O 
literature O O 
, O O 

but O O 
letters O O 
are O O 
much O O 
more O O 
prestigious O O 
than O O 
, O O 
articles O O 
. O O 
oh O O 
, O O 
okay O O 
. O O 
oh O O 
, O O 
I O O 
did O O 
n't O O 
realize O O 
that O O 
. O O 
okay O O 
. O O 
yeah O O 
, O O 

so O O 
that O O 
's O O 
why O O 
it O O 
's O O 
actually O O 
a O O 
big O O 
deal O O 
is O O 
I O O 
mean O O 
, O O 
you O O 
know O O 
, O O 
writing O O 
a O O 
couple O O 
of O O 
articles O O 
based O O 
on O O 
your O O 
Master O O 
's O O 
thesis O O 
, O O 
is O O 
, O O 
not O O 
at O O 
all O O 
unusual O O 
in O O 
Physics O O 
and O O 
yeah O O 
. O O 
%uh O O 
, O O 
it O O 
's O O 
the O O 
fact O O 
that O O 
I O O 
would O O 
be O O 
writing O O 
a O O 
letter O O 
that O O 
is O O 
the O O 
impressive O O 
part O O 
of O O 
it O O 
all O O 
. O O 
And O O 
what O O 
's O O 
actually O O 
kind O O 
of O O 
interesting O O 
is O O 
I O O 
kept O O 
telling O O 
Neil B-PERSON B-PERSON 
that O O 
I O O 
thought O O 
that O O 
this O O 
was O O 
kind O O 
of O O 
significant O O 
. O O 
And O O 
Neil B-PERSON B-PERSON 
kept O O 
writing O O 
back O O 
that O O 
I O O 
should O O 
tone O O 
this O O 
part O O 
of O O 
the O O 
thesis O O 
down O O 
that O O 
You O O 
know O O 
, O O 
people O O 
see O O 
the O O 
anti O O 
phased O O 
motion O O 
, O O 

and O O 
it O O 
's O O 
true O O 
they O O 
do O O 
in O O 
the O O 
transients O O 
And O O 
I O O 
was O O 
having O O 
a O O 
lot O O 
of O O 
trouble O O 
getting O O 
across O O 
to O O 
him O O 
that O O 
all O O 
of O O 
the O O 
literature O O 
has O O 
this O O 
frequency O O 
in O O 
the O O 
transients O O 
Yes O O 
. O O 
%eh O O 
and O O 
not O O 
driven O O 
. O O 
And O O 
, O O 
%uh O O 
, O O 
what O O 
happened O O 
was O O 
after O O 
I O O 
had O O 
turned O O 
in O O 
my O O 
thesis O O 
but O O 
before O O 
I O O 
saw O O 
Neil B-PERSON B-PERSON 
again O O 
, O O 
he O O 
went O O 
to O O 
a O O 
conference O O 
in O O 
Rochester B-GPE B-GPE 
and O O 
there O O 
this O O 
was O O 
a O O 
big O O 
issue O O 
among O O 
the O O 
people O O 
who O O 
were O O 
doing O O 
this O O 
work O O 
, O O 
was O O 
, O O 
that O O 
their O O 
models O O 
could O O 
n't O O 
show O O 
this O O 
as O O 
a O O 
driven O O 
frequency O O 
, O O 
yet O O 
their O O 
experiments O O 
showed O O 
it O O 
as O O 
a O O 
driven O O 
frequency O O 
. O O 

oh O O 
cool O O 
. O O 
and O O 
so O O 
Neil B-PERSON B-PERSON 
then O O 
-- O O 
Said O O 
oh O O 
just O O 
a O O 
second B-TIME B-ORDINAL 
I O O 
-- O O 
like O O 
a B-DATE B-DATE 
week I-DATE I-DATE 
later I-DATE I-DATE 
came O O 
to O O 
Bryn B-ORG B-GPE 
Mawr I-ORG I-FAC 
and O O 
he O O 
said O O 
, O O 
hey O O 
Lowell B-PERSON B-PERSON 
, O O 
we O O 
got O O 
to O O 
write O O 
this O O 
up O O 
. O O 
Exactly O O 
. O O 
And O O 
I O O 
was O O 
like O O 
, O O 
well O O 
I O O 
've O O 
been O O 
telling O O 
you O O 
that O O 
Neil B-PERSON B-PERSON 
. O O 

Indeed O O 
. O O 
So O O 
Cool O O 
. O O 
Cool O O 
. O O 
that O O 
's O O 
mostly O O 
the O O 
sort O O 
of O O 
stuff O O 
that O O 
I O O 
'm O O 
spending O O 
a O O 
lot O O 
of O O 
time O O 
on O O 
now O O 
. O O 
%um O O 
Well O O 
it O O 
'll O O 
look O O 
good O O 
on O O 
your O O 
C O O 
V O O 
, O O 
your O O 
resume O O 
. O O 
so O O 
you O O 
might O O 
as O O 
well O O 
spend O O 
the O O 
time O O 
. O O 
Yes O O 
, O O 
well O O 
, O O 

%uh O O 
, O O 
no O O 
, O O 
it O O 
's O O 
definitely O O 
worth O O 
doing O O 
. O O 
%um O O 
, O O 
and O O 
I O O 
would O O 
have O O 
been O O 
spending O O 
more O O 
time O O 
on O O 
it O O 
if O O 
it O O 
were O O 
n't O O 
for O O 
%uh O O 
dealing O O 
with O O 
the O O 
burglary O O 
issues O O 
oh O O 
yeah O O 
but O O 
that O O 
I O O 
've O O 
been O O 
dealing O O 
with O O 
. O O 
So O O 
are O O 
you O O 
still O O 
living O O 
in O O 
that O O 
house O O 
in O O 
the O O 
middle O O 
of O O 
the O O 
park O O 
. O O 
Yes O O 
. O O 
yeah O O 
, O O 
okay O O 
. O O 

yeah O O 
. O O 
I O O 
mean O O 
the O O 
thing O O 
that O O 
i- O O 
this O O 
place O O 
is O O 
incredibly O O 
easy O O 
to O O 
break O O 
into O O 
if O O 
you O O 
want O O 
to O O 
. O O 
oh O O 
. O O 
It O O 
's O O 
not O O 
a O O 
question O O 
of O O 
whether O O 
or O O 
not O O 
, O O 
%uh O O 
you O O 
know O O 
, O O 
that O O 
was O O 
easy O O 
, O O 

it O O 
was O O 
just O O 
that O O 
no O O 
one O O 
really O O 
knew O O 
it O O 
was O O 
worth O O 
breaking O O 
into O O 
. O O 
Exactly O O 
. O O 
Exactly O O 
. O O 
yeah O O 
. O O 
And O O 
so O O 
the O O 
problem O O 
is O O 
that O O 
now O O 
they O O 
found O O 
out O O 
that O O 
it O O 
's O O 
worth O O 
breaking O O 
into O O 
. O O 

yeah O O 
. O O 
And O O 
unfortunately O O 
. O O 
Well O O 
, O O 
it O O 
's O O 
kind O O 
of O O 
odd O O 
. O O 
They O O 
've O O 
stolen O O 
very O O 
weird O O 
things O O 
for O O 
the O O 
most O O 
part O O 
. O O 
%hm O O 
. O O 

as O O 
far O O 
as O O 
a O O 
. O O 
The O O 
first B-ORDINAL B-ORDINAL 
time O O 
they O O 
broke O O 
in O O 
, O O 
what O O 
they O O 
stole O O 
was O O 
just O O 
bizarre O O 
, O O 
mostly O O 
worthless O O 
stuff O O 
. O O 
And O O 
, O O 
%uh O O 
%huh O O 
the O O 
most O O 
worthwhile O O 
thing O O 
as O O 
far O O 
as O O 
monetary O O 
value O O 
went O O 
that O O 
they O O 
stole O O 
was O O 
the O O 
pre-amplifier O O 
of O O 
my O O 
stereo O O 
. O O 
Unfortunately O O 
, O O 
because O O 
it O O 
's O O 
a O O 
nice O O 
pre-amplifier O O 
, O O 

it O O 
has O O 
an O O 
off O O 
board O O 
power O O 
supply O O 
which O O 
they O O 
did O O 
n't O O 
steal O O 
, O O 
which O O 
makes O O 
the O O 
thing O O 
that O O 
they O O 
**stoled** O O 
absolutely O O 
worthless O O 
. O O 
%huh O O 
. O O 
So O O 
. O O 
That O O 
's O O 
bizarre O O 
. O O 
Bizarre O O 
. O O 
so O O 
when O O 
they O O 
broke O O 
in O O 
the O O 
second B-ORDINAL B-ORDINAL 
time O O 
did O O 
they O O 
steal O O 
the O O 
%uh O O 
offboard O O 
amplifier O O 
? O O 

Actually O O 
, O O 
no O O 
, O O 
all O O 
they O O 
stole O O 
the O O 
second B-ORDINAL B-ORDINAL 
time O O 
was O O 
my O O 
bike O O 
. O O 
%huh O O 
. O O 
Which O O 
was O O 
actually O O 
where O O 
the O O 
major O O 
problem O O 
came O O 
. O O 
Exactly O O 
. O O 
Exactly O O 
. O O 
yeah O O 
. O O 
Is O O 
that O O 
I O O 
suddenly O O 
had O O 
no O O 
transportation O O 
. O O 
And O O 
so O O 
, O O 
I O O 
then O O 
had O O 
to O O 
go O O 
bike O O 
hunting O O 
and O O 
eventually O O 
get O O 
another O O 
bike O O 
, O O 

and O O 
%mm O O 
. O O 
that O O 
cost O O 
me O O 
a O O 
lot O O 
of O O 
time O O 
. O O 
yeah O O 
. O O 
Exactly O O 
. O O 
Because O O 
, O O 
Spending O O 
a O O 
lot O O 
of O O 
time O O 
hunting O O 
for O O 
bikes O O 
, O O 
and O O 
nah O O 
well O O 
. O O 
then O O 
getting O O 
one B-CARDINAL O 
purchased O O 
, O O 
and O O 
then O O 
having O O 
to O O 
, O O 
you O O 
know O O 
, O O 
go O O 
get O O 
it O O 
and O O 
things O O 
like O O 
that O O 
. O O 

But O O 
, O O 
that O O 
's O O 
dealt O O 
with O O 
at O O 
least O O 
. O O 
And O O 
so O O 
%uh O O 
, O O 
that O O 
's O O 
yeah O O 
at O O 
least O O 
dealt O O 
with O O 
. O O 
Now O O 
I O O 
just O O 
have O O 
to O O 
work O O 
on O O 
the O O 
financial O O 
aspects O O 
of O O 
all O O 
of O O 
this O O 
. O O 
But O O 
yeah O O 
. O O 
yeah O O 
. O O 
At O O 
least O O 
Well O O 
that O O 
would O O 
make O O 
sense O O 
during O O 
the O O 
summer O O 
%uh O O 
according O O 
to O O 
the O O 
stipulations O O 
of O O 
my O O 
fellowship O O 
, O O 
I O O 
can O O 
actually O O 
earn O O 
money O O 
during O O 
the B-DATE O 
summer I-DATE O 
. O O 

But O O 
%um O O 
, O O 
guessed O O 
what O O 
happened O O 
. O O 
What O O 
? O O 
%um O O 
The O O 
%um O O 
Again O O 
? O O 
%um O O 
118.91_120.82_B: O O 
Let O O 
's O O 
see O O 
, O O 

two B-DATE B-DATE 
weeks I-DATE I-DATE 
ago I-DATE I-DATE 
I O O 
know O O 
Sue B-PERSON B-PERSON 
is O O 
going O O 
to O O 
Rhode B-GPE B-GPE 
Island I-GPE I-GPE 
. O O 
%eh O O 
Right O O 
. O O 
Right O O 
. O O 
Did O O 
she O O 
see O O 
her O O 
mom O O 
? O O 

Yes O O 
she O O 
did O O 
. O O 
And O O 
? O O 
Yes O O 
she O O 
did O O 
. O O 
And O O 
? O O 
%um O O 
, O O 
%um O O 
, O O 
which O O 
we O O 
had O O 
already O O 
anticipated O O 
that O O 
it O O 
was O O 
going O O 
to O O 
happen O O 
. O O 

I O O 
spoke O O 
to O O 
her O O 
mom O O 
on O O 
Thursday B-DATE B-DATE 
%um O O 
and O O 
I O O 
asked O O 
her O O 
I O O 
said O O 
listen O O 
I O O 
said O O 
%um O O 
please O O 
come O O 
to O O 
Shabbat O B-LOC 
things O O 
have O O 
come O O 
to O O 
a O O 
point O O 
where O O 
I O O 
may O O 
have O O 
to O O 
relinquish O O 
my O O 
, O O 
%uh O O 
parenting O O 
. O O 

%uh O O 
would O O 
you O O 
mind O O 
%uh O O 
taking O O 
her O O 
back O O 
and O O 
she O O 
said O O 
no O O 
. O O 
She O O 
said O O 
%uh O O 
she O O 
'd O O 
be O O 
more O O 
than O O 
happy O O 
to O O 
. O O 
Really O O 
? O O 
This O O 
girl O O 
has O O 
everything O O 
in O O 
her O O 
dreams O O 
you O O 
know O O 
. O O 

it O O 
is O O 
as O O 
my O O 
husband O O 
says O O 
%uh O O 
, O O 
%uh O O 
al O O 
kadir O O 
the O O 
destiny O O 
. O O 
Selema B-PERSON B-PERSON 
I O O 
'm O O 
telling O O 
you O O 
, O O 
it O O 
is O O 
like O O 
Allah O B-PERSON 
has O O 
just O O 
painted O O 
the O O 
road O O 
and O O 
all O O 
I O O 
had O O 
to O O 
do O O 
was O O 
get O O 
on O O 
it O O 
and O O 
follow O O 
it O O 
. O O 
I O O 
mean O O 
things O O 
have O O 
been O O 
happening O O 
that O O 
has O O 
just O O 
scared O O 
the O O 
heck O O 
out O O 
of O O 
me O O 
. O O 

I O O 
told O O 
mom O O 
I O O 
said O O 
mom O O 
it O O 
is O O 
when O O 
you O O 
believe O O 
in O O 
Allah O B-PERSON 
, O O 
when O O 
you O O 
have O O 
faith O O 
and O O 
know O O 
when O O 
you O O 
truly O O 
give O O 
your O O 
heart O O 
to O O 
Allah O B-PERSON 
, O O 
only O O 
Allah O B-PERSON 
can O O 
make O O 
the O O 
way O O 
clear O O 
for O O 
you O O 
. O O 
%uh O O 
. O O 
I O O 
believe O O 
that O O 
by O O 
her B-DATE O 
birthday I-DATE O 
she O O 
will O O 
be O O 
living O O 
with O O 
her O O 
mother O O 
. O O 
Really O O 
? O O 

mhm O O 
mhm O O 
. O O 
and O O 
is O O 
she O O 
seem O O 
like O O 
she O O 
's O O 
together O O 
enough O O 
? O O 
she O O 
's O O 
in O O 
a O O 
two B-DATE B-DATE 
year I-DATE I-DATE 
program O O 
. O O 
She O O 
's O O 
in O O 
the O O 
program O O 
now O O 
. O O 
She O O 
's O O 
doing O O 
very O O 
well O O 
. O O 

When O O 
I O O 
talked O O 
to O O 
her O O 
I O O 
'm O O 
talking O O 
to O O 
her O O 
like O O 
I O O 
'm O O 
talking O O 
to O O 
you O O 
. O O 
I O O 
wrote O O 
her O O 
a O O 
letter O O 
and O O 
told O O 
her O O 
I O O 
said O O 
I O O 
feel O O 
like O O 
I O O 
know O O 
you O O 
even O O 
though O O 
I O O 
never O O 
met O O 
